date,aggregated_news,news_count
2020-01-01,sahamsaham yang paling untung dan buntung sepanjang 2019,1
2020-01-15,harga saham bca cetak rekor baru,1
2020-01-20,top saham bbri catat rekor tertinggi di tahun 2020,1
2020-02-12,tps food sajikan ulang lapkeu 2017 rugi membengkak jadi rp 5 triliun,1
2020-02-14,tiga anak krakatau steel bersiap ipo bergerak di bisnis pelabuhan,1
2020-02-18,ada kabar gabung ke bca siapa haryanto budiman [SEP] hendra lembong jebolan citibank yang kabarnya gabung ke bca,2
2020-02-20,laba bca 2019 tembus rp 286 t melesat 11,1
2020-02-21,bursa sore ihsg dan rupiah samasama tergelincir,1
2020-02-24,entrepreneur muda ini bagikan tips untuk memulai bisnis hijab  genpico,1
2020-02-25,ini dia bank buku iv paling menguntungkan di ri,1
2020-02-27,arab larang umrah sementara saham emiten travel gimana,1
2020-02-28,super indo bakal tambah porsi gerai waralaba tahun ini,1
2020-03-02,cara investasi saham bca untuk keuntungan di masa depan,1
2020-03-09,ini syarat membuat rekening bca sekuritas untuk investasi,1
2020-03-11,rups 9 april haryanto budiman  hendra lembong ke bca,1
2020-03-16,panduan beli saham bbca dan sahamsaham lainnya,1
2020-03-19,perdagangan dihentikan bca kena arb  161 saham mendekati,1
2020-03-23,bbca unjuk gigi [SEP] 1 pegawai bca di kantor pusat positif corona covid19,2
2020-03-26,dampak covid19 harga saham turun agresif,1
2020-04-03,harga saham bca hari ini setelah berkalikali pecah rekor,1
2020-04-08,direksi borong saham bbca saat turun drastis pertanda bagus,1
2020-04-10,taipan duo hartono dapat rp 7518 triliun dari dividen bbca,1
2020-04-13,harga saham bca per lembar turun karena efek corona [SEP] kuasai 5494 saham bbca robert budi  michael bambang raup dividen rp 72 triliun [SEP] bca bagi dividen keluarga hartono bakal raup rp 75 triliun,3
2020-04-14,dari bca duo hartono dapat dividen rp 75 t salim berapa,1
2020-04-16,tak hanya direksi komisaris bca juga borong saham,1
2020-04-20,ini bonus yang direksi dan komisaris bank bca bbca peroleh atas kinerja 2019,1
2020-04-27,deretan saham favorit yang patut dilirik di tengah covid19,1
2020-05-04,perdagangan pertama mei ihsg rontok ini penyebabnya [SEP] buka puasa pakai baskin robbins promo ramadannya bikin kaget  genpico,2
2020-05-08,ingin berinvestasi di produk pasar modal berikut jenisjenisnya,1
2020-05-11,promo hypermart hari terakhir biskuit kaleng murah banget  genpico,1
2020-05-20,bursa saham sedang terkoreksi kenali pola investasi saham dengan cara ini,1
