date,aggregated_news,news_count,sentiment_score
2020-01-01,sahamsaham yang paling untung dan buntung sepanjang 2019,1,0.06880930066108704
2020-01-15,harga saham bca cetak rekor baru,1,0.04621502757072449
2020-01-20,top saham bbri catat rekor tertinggi di tahun 2020,1,0.00864836573600769
2020-02-12,tps food sajikan ulang lapkeu 2017 rugi membengkak jadi rp 5 triliun,1,-0.025074422359466553
2020-02-14,tiga anak krakatau steel bersiap ipo bergerak di bisnis pelabuhan,1,0.10766223073005676
2020-02-18,ada kabar gabung ke bca siapa haryanto budiman [SEP] hendra lembong jebolan citibank yang kabarnya gabung ke bca,2,0.14573609828948975
2020-02-20,laba bca 2019 tembus rp 286 t melesat 11,1,0.1438083052635193
2020-02-21,bursa sore ihsg dan rupiah samasama tergelincir,1,0.053477972745895386
2020-02-24,entrepreneur muda ini bagikan tips untuk memulai bisnis hijab  genpico,1,0.027488887310028076
2020-02-25,ini dia bank buku iv paling menguntungkan di ri,1,-0.011913269758224487
2020-02-27,arab larang umrah sementara saham emiten travel gimana,1,0.16991381347179413
2020-02-28,super indo bakal tambah porsi gerai waralaba tahun ini,1,-0.008611321449279785
2020-03-02,cara investasi saham bca untuk keuntungan di masa depan,1,-0.014892995357513428
2020-03-09,ini syarat membuat rekening bca sekuritas untuk investasi,1,-0.02064669132232666
2020-03-11,rups 9 april haryanto budiman  hendra lembong ke bca,1,0.10751235485076904
2020-03-16,panduan beli saham bbca dan sahamsaham lainnya,1,0.0019531548023223877
2020-03-19,perdagangan dihentikan bca kena arb  161 saham mendekati,1,0.18865925073623657
2020-03-23,bbca unjuk gigi [SEP] 1 pegawai bca di kantor pusat positif corona covid19,2,-0.01600608229637146
2020-03-26,dampak covid19 harga saham turun agresif,1,0.12309767305850983
2020-04-03,harga saham bca hari ini setelah berkalikali pecah rekor,1,0.13046371936798096
2020-04-08,direksi borong saham bbca saat turun drastis pertanda bagus,1,0.05836057662963867
2020-04-10,taipan duo hartono dapat rp 7518 triliun dari dividen bbca,1,0.023060142993927002
2020-04-13,harga saham bca per lembar turun karena efek corona [SEP] kuasai 5494 saham bbca robert budi  michael bambang raup dividen rp 72 triliun [SEP] bca bagi dividen keluarga hartono bakal raup rp 75 triliun,3,0.004079729318618774
2020-04-14,dari bca duo hartono dapat dividen rp 75 t salim berapa,1,0.14073775708675385
2020-04-16,tak hanya direksi komisaris bca juga borong saham,1,0.07979103922843933
2020-04-20,ini bonus yang direksi dan komisaris bank bca bbca peroleh atas kinerja 2019,1,0.05838927626609802
2020-04-27,deretan saham favorit yang patut dilirik di tengah covid19,1,0.0829915702342987
2020-05-04,perdagangan pertama mei ihsg rontok ini penyebabnya [SEP] buka puasa pakai baskin robbins promo ramadannya bikin kaget  genpico,2,-0.003385215997695923
2020-05-08,ingin berinvestasi di produk pasar modal berikut jenisjenisnya,1,0.051950037479400635
2020-05-11,promo hypermart hari terakhir biskuit kaleng murah banget  genpico,1,0.0071825385093688965
2020-05-20,bursa saham sedang terkoreksi kenali pola investasi saham dengan cara ini,1,0.050247758626937866
2020-05-26,terhempas pandemi covid19 harta pemilik grup djarum menguap rp17491 triliun,1,-0.03254535794258118
2020-05-29,bank royal dari ciparay dibeli djarum jadi bank digital bca,1,0.05816486477851868
2020-06-08,komut bca lepas 800000 saham bbca prospek bca diragukan  kompasianacom [SEP] komut bca lepas 800000 saham bbca kantongi rp 23 m [SEP] saham bca naik 10 harta crazy rich duo hartono naik rp 36 t,3,0.009654611349105835
2020-06-12,sudah drop dalam ada saham bank bisa cuan 118,1,0.11365292966365814
2020-06-15,pandemi covid19 belum berakhir begini strategi bca,1,0.11431130766868591
2020-06-18,indeks saham dan reksadana indeks apa bedanya,1,0.005296587944030762
2020-06-24,ladies harga emas batangan antam mendidih lagi lo  genpico,1,0.04664936661720276
2020-06-26,ladies gerak harga emas antam beda banget sama pasar dunia  genpico,1,0.09731641411781311
2020-06-30,saham bca melesat 14 harta duo hartono nambah berapa [SEP] harga saham meroket harta 5 crazy rich ri ini makin melesat,2,0.04138597846031189
2020-07-06,ihsg sempat menembus 5000 asing net buy saham bbca tlkm dan cpin diburu [SEP] bca pertahankan posisi indonesias most valuable brand,2,0.13914915919303894
2020-07-09,gelar rups 30 juli saham bca sudah balik lagi ke rp 31000,1,0.05832216143608093
2020-07-10,blue sphere singapore meraup rp 7213 miliar dari dividen daryavaria dvla,1,0.04747021198272705
2020-07-13,melirik harga saham bca sebelum dan saat pandemi corona [SEP] lepas saham bbca erwan yuris ang kantungi rp 155 miliar [SEP] 5 direksi bca jual saham rp 2025 m,3,0.016550272703170776
2020-07-15,inspirasi investasi saham dari direksi bca,1,0.07164284586906433
2020-07-16,restrukturisasi kredit bank bca ini dampak ke kinerja dan harga saham bbca,1,0.09088847041130066
2020-07-27,pasca akuisisi 2 bank apakah bca bakal berhenti beli bank,1,0.11649364233016968
2020-08-03,ihsg dibuka berada di zona merah pagi ini,1,0.07032087445259094
2020-08-05,investor antisipasi resesi ekonomi indonesia ihsg diramal turun,1,0.007469981908798218
2020-08-11,alasan mengapa 90 trader saham di indonesia gagal [SEP] gopay hadirkan fitur tarik tunai bisa dipakai seluruh atm bca,2,0.033683985471725464
2020-08-13,ihsg menguat seiring masih menariknya pasar domestik [SEP] tajir laba rp 12 t aset perusahaan duo hartono rp 1113 t,2,0.03366196155548096
2020-08-18,gejolak 2008 dan 2020 7 saham ini tetap punya kapitalisasi pasar terbesar,1,-0.004904747009277344
2020-08-24,sinopsis desierto kisah imigran gelap meksiko tayang malam ini di bioskop trans tv,1,-0.05634373426437378
2020-08-31,apakah saham bbca bisa tembus rp 35000 kapan,1,0.1302856057882309
2020-09-04,saham perusahaannya merosot prajogo pangestu bukan lagi orang terkaya ke3 ri,1,0.08830463886260986
2020-09-07,selain mertua syahrini ini petinggi perusahaan yang sempat lepas sahamnya [SEP] suksesor bisnis marta ortega pewaris zara yang sempat dibuang,2,0.0271587073802948
2020-09-08,wow 6 bulan harta orang terkaya ri ini melesat rp 128 t,1,0.009992331266403198
2020-09-10,ihsg anjlok hingga sempat trading halt asing jual saham big cap,1,0.11357226967811584
2020-09-14,viral tolak psbb hingga kekayaan lenyap 201 persen ada apa dengan robert hartono,1,0.053690046072006226
2020-09-15,sejak akhir maret kekayaan budi hartono naik rp110 triliun berkat saham bca,1,0.0807998776435852
2020-09-16,budi hartono dan bca orang paling kaya di indonesia dan emiten pemilik kapitalisasi pasar terbesar,1,0.06187942624092102
