Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2020-01-02,5540.17138671875,5614.702840351738,5531.890114092863,5544.3120230316945,49445000
2020-01-03,5631.26513671875,5631.26513671875,5569.155594769646,5589.858775419347,47755500
2020-01-06,5577.4375,5589.859409799555,5540.171770601337,5565.015590200445,27300000
2020-01-07,5581.57861328125,5606.422435002086,5573.297339374304,5577.437976327777,45022500
2020-01-08,5531.890625,5585.718902039671,5523.6093516092815,5523.6093516092815,53692500
2020-01-09,5581.57861328125,5594.000524141668,5573.297339374304,5581.57861328125,40363500
2020-01-10,5569.15673828125,5651.969477883945,5556.734827340845,5602.281834122327,73362000
2020-01-13,5585.71923828125,5598.141149115086,5577.4379643920265,5581.578601336639,67855000
2020-01-14,5689.2353515625,5701.657262810453,5581.578787413574,5585.719424496225,93582000
2020-01-15,5660.24951171875,5846.578135001371,5631.26505920812,5689.23396422938,75623500
2020-01-16,5672.6728515625,5705.79794850593,5627.125843265283,5635.40711750114,88931500
2020-01-17,5693.3759765625,5705.797887784091,5631.266420454545,5664.391517045454,38249500
2020-01-20,5660.24951171875,5776.18732176127,5656.108875645803,5755.484141396534,93554500
2020-01-21,5656.10888671875,5709.937155772443,5651.968250637697,5701.655883610336,103984500
2020-01-22,5664.39111328125,5709.938117847108,5660.250476502535,5676.813023617393,94311500
2020-01-23,5664.39111328125,5709.938117847108,5656.109839723821,5701.656844289679,87728000
2020-01-24,5639.54736328125,5697.516278909691,5639.54736328125,5647.828636942456,69653500
2020-01-27,5664.39111328125,5747.203848855537,5643.687929387678,5685.094297174822,39679000
2020-01-28,5622.984375,5668.531376564801,5593.999919458763,5660.250103553019,82615000
2020-01-29,5618.8447265625,5668.532373370717,5606.422814860446,5631.266638264555,43821000
2020-01-30,5581.57861328125,5668.531989304177,5573.297339374304,5668.531989304177,71990000
2020-01-31,5366.265625,5635.407033661266,5366.265625,5631.266396604939,163136500
2020-02-03,5333.14013671875,5453.218602529964,5275.1712221891985,5366.265230735637,149797000
2020-02-04,5465.64111328125,5482.203662109376,5399.390917968751,5440.797290039063,113316500
2020-02-05,5573.29736328125,5614.703732993592,5507.047171741502,5614.703732993592,123002500
2020-02-06,5581.57861328125,5614.703708909032,5531.890969839577,5581.57861328125,154693500
2020-02-07,5598.1416015625,5614.704150679549,5552.594591490616,5556.735228769878,82609000
2020-02-10,5618.8447265625,5618.8447265625,5490.484972307941,5598.14154039241,66578500
2020-02-11,5614.703125,5618.843761522861,5585.71866933997,5618.843761522861,77526500
2020-02-12,5631.26513671875,5631.26513671875,5598.140047679228,5631.26513671875,69971500
2020-02-13,5622.984375,5647.828194035346,5581.5780099410895,5647.828194035346,49737000
2020-02-14,5531.890625,5627.1252689932635,5527.749988304641,5614.703358907186,147028500
2020-02-17,5565.0166015625,5589.860425676618,5531.891502743675,5531.891502743675,115319000
2020-02-18,5544.31201171875,5565.015193241225,5523.608830196275,5536.03073910976,98436500
2020-02-19,5544.31201171875,5598.140283677185,5519.46819389178,5519.46819389178,74594000
2020-02-20,5461.5,5544.31273692191,5436.6561789234265,5540.172100075814,136724500
2020-02-21,5478.0625,5515.328231292518,5461.499952758882,5465.640589569161,98261000
2020-02-24,5403.5302734375,5465.639816810344,5391.108364762931,5436.65536323635,84910000
2020-02-25,5407.67138671875,5432.515206259571,5391.1088403582025,5424.2339330792975,86446500
2020-02-26,5316.578125,5411.812779887072,5316.578125,5382.82831970405,92824500
2020-02-27,5208.9208984375,5362.124454273897,5134.3894388414155,5357.98381762967,129254500
2020-02-28,5208.9208984375,5208.9208984375,4997.748429581926,5134.3894388414155,169946500
2020-03-02,5035.0146484375,5208.921404386821,4997.748915019788,5208.921404386821,144871500
2020-03-03,5233.76513671875,5258.608958570263,5134.389849312697,5134.389849312697,114663500
2020-03-04,5333.14013671875,5382.82777774408,5184.0772136427595,5229.624217915979,83025000
2020-03-05,5328.9990234375,5415.952387456294,5250.326932182401,5415.952387456294,77583000
2020-03-06,5134.39013671875,5258.6092529296875,5134.39013671875,5258.6092529296875,77835500
2020-03-09,4790.71630859375,5001.888764720182,4790.71630859375,4968.763673563094,140889500
2020-03-10,4906.654296875,4977.045118011603,4836.263475738397,4836.263475738397,133667000
2020-03-11,4844.54541015625,4952.201974826389,4794.857764923879,4927.358152210203,93204500
2020-03-12,4604.3876953125,4670.6378779788665,4521.574966979541,4637.512786645683,129845500
2020-03-13,4604.3876953125,4604.3876953125,4604.3876953125,4604.3876953125,0
